beta,observation_percentage,noise_mode,noise_rate,trials,accuracy,mean_true_goal_rank,std_true_goal_rank,mean_true_goal_probability,std_true_goal_probability,mean_noisy_observation_length,mean_dropped_actions,mean_corrupted_actions,mean_inserted_actions,accuracy_ci95_low,accuracy_ci95_high,accuracy_ci95_half_width
10.0,0.25,spurious,0.3,50,0.32,2.42,1.1967643452071857,0.17666051331647864,0.2477724069820922,4.6,1.0,0.0,1.14,0.19069940758063017,0.4493005924193698,0.1293005924193698
0.1,0.5,corrupt,0.1,50,0.24,2.56,1.0720950308167838,0.13350655650061688,0.12462211306826483,6.8,2.06,0.94,0.0,0.12161859605495463,0.35838140394504536,0.11838140394504537
0.25,0.5,corrupt,0.1,50,0.24,2.56,1.0720950308167838,0.13129374102894098,0.12330717739204504,6.8,2.06,0.94,0.0,0.12161859605495463,0.35838140394504536,0.11838140394504537
0.5,0.5,corrupt,0.1,50,0.24,2.56,1.0720950308167838,0.12769282246861813,0.12236044645034512,6.8,2.06,0.94,0.0,0.12161859605495463,0.35838140394504536,0.11838140394504537
1.0,0.5,corrupt,0.1,50,0.24,2.56,1.0720950308167838,0.1209185865061193,0.12368341403867318,6.8,2.06,0.94,0.0,0.12161859605495463,0.35838140394504536,0.11838140394504537
2.0,0.5,corrupt,0.1,50,0.24,2.56,1.0720950308167838,0.10997319173148004,0.1311414633369703,6.8,2.06,0.94,0.0,0.12161859605495463,0.35838140394504536,0.11838140394504537
5.0,0.5,corrupt,0.1,50,0.24,2.56,1.0720950308167838,0.09909835554091698,0.1426039435418272,6.8,2.06,0.94,0.0,0.12161859605495463,0.35838140394504536,0.11838140394504537
10.0,0.5,corrupt,0.1,50,0.24,2.56,1.0720950308167838,0.09833857891849003,0.14353355927562733,6.8,2.06,0.94,0.0,0.12161859605495463,0.35838140394504536,0.11838140394504537
0.1,0.5,corrupt,0.2,50,0.2,2.62,1.027976018143201,0.11958449554227257,0.12577138145148778,5.82,3.04,1.84,0.0,0.08912565670994935,0.3108743432900507,0.11087434329005068
0.25,0.5,corrupt,0.2,50,0.2,2.62,1.027976018143201,0.11881147311806722,0.12517311140811208,5.82,3.04,1.84,0.0,0.08912565670994935,0.3108743432900507,0.11087434329005068
0.5,0.5,corrupt,0.2,50,0.2,2.62,1.027976018143201,0.1171455450978557,0.12420696411002217,5.82,3.04,1.84,0.0,0.08912565670994935,0.3108743432900507,0.11087434329005068
1.0,0.5,corrupt,0.2,50,0.2,2.62,1.027976018143201,0.11267270697190299,0.12274216567566539,5.82,3.04,1.84,0.0,0.08912565670994935,0.3108743432900507,0.11087434329005068
2.0,0.5,corrupt,0.2,50,0.2,2.62,1.027976018143201,0.10229533720852846,0.12347301361064071,5.82,3.04,1.84,0.0,0.08912565670994935,0.3108743432900507,0.11087434329005068
5.0,0.5,corrupt,0.2,50,0.2,2.62,1.027976018143201,0.08931534635179,0.1310908546798064,5.82,3.04,1.84,0.0,0.08912565670994935,0.3108743432900507,0.11087434329005068
