run_id,seed,beta,observation_percentage,clean_observation_length,noise_mode,noise_rate,noisy_observation_length,dropped_actions,corrupted_actions,inserted_actions,true_goal,predicted_goal,top1_correct,true_goal_rank,true_goal_probability
1,7,10.0,0.5,1,mixed,0.1,1,0,0,0,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,0.1,0.5,1,mixed,0.2,1,1,0,1,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,0.25,0.5,1,mixed,0.2,1,1,0,1,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,0.5,0.5,1,mixed,0.2,1,1,0,1,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,1.0,0.5,1,mixed,0.2,1,1,0,1,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,2.0,0.5,1,mixed,0.2,1,1,0,1,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,5.0,0.5,1,mixed,0.2,1,1,0,1,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,10.0,0.5,1,mixed,0.2,1,1,0,1,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,0.1,0.5,1,mixed,0.3,1,0,0,0,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,0.25,0.5,1,mixed,0.3,1,0,0,0,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,0.5,0.5,1,mixed,0.3,1,0,0,0,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,1.0,0.5,1,mixed,0.3,1,0,0,0,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,2.0,0.5,1,mixed,0.3,1,0,0,0,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,5.0,0.5,1,mixed,0.3,1,0,0,0,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,10.0,0.5,1,mixed,0.3,1,0,0,0,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,0.1,0.75,2,none,0.0,2,0,0,0,G3_visit_admin_office,G3_visit_admin_office,True,1,0.22015283817497774
1,7,0.25,0.75,2,none,0.0,2,0,0,0,G3_visit_admin_office,G3_visit_admin_office,True,1,0.25050965547496234
1,7,0.5,0.75,2,none,0.0,2,0,0,0,G3_visit_admin_office,G3_visit_admin_office,True,1,0.29919610118068857
1,7,1.0,0.75,2,none,0.0,2,0,0,0,G3_visit_admin_office,G3_visit_admin_office,True,1,0.3789960383933226
1,7,2.0,0.75,2,none,0.0,2,0,0,0,G3_visit_admin_office,G3_visit_admin_office,True,1,0.46041224480597187
1,7,5.0,0.75,2,none,0.0,2,0,0,0,G3_visit_admin_office,G3_visit_admin_office,True,1,0.49829862242373696
1,7,10.0,0.75,2,none,0.0,2,0,0,0,G3_visit_admin_office,G3_visit_admin_office,True,1,0.49998864924466774
1,7,0.1,0.75,2,missing,0.1,2,0,0,0,G3_visit_admin_office,G3_visit_admin_office,True,1,0.22015283817497774
1,7,0.25,0.75,2,missing,0.1,2,0,0,0,G3_visit_admin_office,G3_visit_admin_office,True,1,0.25050965547496234
1,7,0.5,0.75,2,missing,0.1,2,0,0,0,G3_visit_admin_office,G3_visit_admin_office,True,1,0.29919610118068857
1,7,1.0,0.75,2,missing,0.1,2,0,0,0,G3_visit_admin_office,G3_visit_admin_office,True,1,0.3789960383933226
1,7,2.0,0.75,2,missing,0.1,2,0,0,0,G3_visit_admin_office,G3_visit_admin_office,True,1,0.46041224480597187
1,7,5.0,0.75,2,missing,0.1,2,0,0,0,G3_visit_admin_office,G3_visit_admin_office,True,1,0.49829862242373696
1,7,10.0,0.75,2,missing,0.1,2,0,0,0,G3_visit_admin_office,G3_visit_admin_office,True,1,0.49998864924466774
1,7,0.1,0.75,2,missing,0.2,0,2,0,0,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,0.25,0.75,2,missing,0.2,0,2,0,0,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,0.5,0.75,2,missing,0.2,0,2,0,0,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,1.0,0.75,2,missing,0.2,0,2,0,0,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,2.0,0.75,2,missing,0.2,0,2,0,0,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,5.0,0.75,2,missing,0.2,0,2,0,0,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,10.0,0.75,2,missing,0.2,0,2,0,0,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,0.1,0.75,2,missing,0.3,0,2,0,0,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,0.25,0.75,2,missing,0.3,0,2,0,0,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,0.5,0.75,2,missing,0.3,0,2,0,0,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,1.0,0.75,2,missing,0.3,0,2,0,0,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,2.0,0.75,2,missing,0.3,0,2,0,0,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,5.0,0.75,2,missing,0.3,0,2,0,0,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,10.0,0.75,2,missing,0.3,0,2,0,0,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,0.1,0.75,2,corrupt,0.1,2,0,0,0,G3_visit_admin_office,G3_visit_admin_office,True,1,0.22015283817497774
1,7,0.25,0.75,2,corrupt,0.1,2,0,0,0,G3_visit_admin_office,G3_visit_admin_office,True,1,0.25050965547496234
1,7,0.5,0.75,2,corrupt,0.1,2,0,0,0,G3_visit_admin_office,G3_visit_admin_office,True,1,0.29919610118068857
1,7,1.0,0.75,2,corrupt,0.1,2,0,0,0,G3_visit_admin_office,G3_visit_admin_office,True,1,0.3789960383933226
1,7,2.0,0.75,2,corrupt,0.1,2,0,0,0,G3_visit_admin_office,G3_visit_admin_office,True,1,0.46041224480597187
1,7,5.0,0.75,2,corrupt,0.1,2,0,0,0,G3_visit_admin_office,G3_visit_admin_office,True,1,0.49829862242373696
1,7,10.0,0.75,2,corrupt,0.1,2,0,0,0,G3_visit_admin_office,G3_visit_admin_office,True,1,0.49998864924466774
1,7,0.1,0.75,2,corrupt,0.2,2,0,0,0,G3_visit_admin_office,G3_visit_admin_office,True,1,0.22015283817497774
1,7,0.25,0.75,2,corrupt,0.2,2,0,0,0,G3_visit_admin_office,G3_visit_admin_office,True,1,0.25050965547496234
1,7,0.5,0.75,2,corrupt,0.2,2,0,0,0,G3_visit_admin_office,G3_visit_admin_office,True,1,0.29919610118068857
1,7,1.0,0.75,2,corrupt,0.2,2,0,0,0,G3_visit_admin_office,G3_visit_admin_office,True,1,0.3789960383933226
1,7,2.0,0.75,2,corrupt,0.2,2,0,0,0,G3_visit_admin_office,G3_visit_admin_office,True,1,0.46041224480597187
1,7,5.0,0.75,2,corrupt,0.2,2,0,0,0,G3_visit_admin_office,G3_visit_admin_office,True,1,0.49829862242373696
1,7,10.0,0.75,2,corrupt,0.2,2,0,0,0,G3_visit_admin_office,G3_visit_admin_office,True,1,0.49998864924466774
