beta,observation_percentage,noise_mode,noise_rate,trials,accuracy,mean_true_goal_rank,std_true_goal_rank,mean_true_goal_probability,std_true_goal_probability,mean_noisy_observation_length,mean_dropped_actions,mean_corrupted_actions,mean_inserted_actions,accuracy_ci95_low,accuracy_ci95_high,accuracy_ci95_half_width
1.0,0.25,corrupt,0.2,50,0.46,2.08,1.38269184372147,0.30503074285928755,0.15075588268242918,1.0,0.0,0.26,0.0,0.3218512801362242,0.5981487198637758,0.1381487198637758
2.0,0.25,corrupt,0.2,50,0.46,2.08,1.38269184372147,0.35922226257143064,0.20980076349913132,1.0,0.0,0.26,0.0,0.3218512801362242,0.5981487198637758,0.1381487198637758
5.0,0.25,corrupt,0.2,50,0.46,2.08,1.38269184372147,0.369972308557224,0.2215135773743806,1.0,0.0,0.26,0.0,0.3218512801362242,0.5981487198637758,0.1381487198637758
10.0,0.25,corrupt,0.2,50,0.46,2.08,1.38269184372147,0.36999999874269635,0.22154374747681896,1.0,0.0,0.26,0.0,0.3218512801362242,0.5981487198637758,0.1381487198637758
0.1,0.25,corrupt,0.3,50,0.5,2.22,1.6449055552566798,0.17995421139725676,0.015586199508674526,1.0,0.0,0.28,0.0,0.3614070708874367,0.6385929291125634,0.13859292911256335
0.25,0.25,corrupt,0.3,50,0.5,2.22,1.6449055552566798,0.20104020094450575,0.04031992169623879,1.0,0.0,0.28,0.0,0.3614070708874367,0.6385929291125634,0.13859292911256335
0.5,0.25,corrupt,0.3,50,0.5,2.22,1.6449055552566798,0.23707389658209047,0.0825872013652427,1.0,0.0,0.28,0.0,0.3614070708874367,0.6385929291125634,0.13859292911256335
1.0,0.25,corrupt,0.3,50,0.5,2.22,1.6449055552566798,0.29822595222686354,0.15431814631933527,1.0,0.0,0.28,0.0,0.3614070708874367,0.6385929291125634,0.13859292911256335
2.0,0.25,corrupt,0.3,50,0.5,2.22,1.6449055552566798,0.3497523152318521,0.21475821933773653,1.0,0.0,0.28,0.0,0.3614070708874367,0.6385929291125634,0.13859292911256335
5.0,0.25,corrupt,0.3,50,0.5,2.22,1.6449055552566798,0.35997367043145884,0.22674779940088674,1.0,0.0,0.28,0.0,0.3614070708874367,0.6385929291125634,0.13859292911256335
10.0,0.25,corrupt,0.3,50,0.5,2.22,1.6449055552566798,0.3599999988045309,0.22677868240325924,1.0,0.0,0.28,0.0,0.3614070708874367,0.6385929291125634,0.13859292911256335
0.1,0.25,missing,0.1,50,0.64,1.68,1.2847615517666924,0.18682707936135506,0.007520308682123263,0.88,0.12,0.0,0.0,0.5069507880519393,0.7730492119480608,0.13304921194806074
